"","ds_id","auth_id","timestamp"
"81","doi:10.7281/T1/6BHBC4","42",2020-01-13 18:12:38
"82","doi:10.7281/T19G5JRC","43",2015-10-22
"83","doi:10.7281/T1/B660D2","0000-0003-0787-4520",2022-09-12 20:36:56
"84","doi:10.7281/T1/OOMZS7","0000-0003-0787-4520",2022-06-06 13:59:37
"85","doi:10.7281/T1/HWU9TZ","0000-0001-8587-2729",2024-05-28 18:45:52
"86","doi:10.7281/T1/XFNORD","0000-0003-0102-9713",2023-12-21 14:34:36
"87","doi:10.7281/T1/6Y08LS","0000-0001-9955-3809",2018-08-22 19:06:03
"88","doi:10.7281/T1154F09","0000-0003-1667-3181",2015-08-25
"89","doi:10.7281/T1/X4MXHC","44",2022-04-07 16:35:56
"90","doi:10.7281/T1/IRMGH8","45",2024-02-28 12:19:18
"91","doi:10.7281/T1/IRMGH8","46",2024-02-28 12:19:18
"92","doi:10.7281/T1/WBR06U","0000-0002-3502-9378",2017-06-12 13:30:58
"93","doi:10.7281/T1057CVH","0000-0002-9368-4899",2015-08-25
"94","doi:10.7281/T1154F09","0000-0002-9368-4899",2015-08-25
"95","doi:10.7281/T1/XGVRX0","0000-0002-9368-4899",2022-06-23 16:11:51
"96","doi:10.7281/T1/IZMSNX","0000-0002-9368-4899",2024-07-29 16:28:32
"97","doi:10.7281/T1/0L0OA0","0000-0001-8044-2906",2023-05-08 22:56:03
"98","doi:10.7281/T1/RECXQW","0000-0002-1913-0353",2022-01-10 16:51:56
"99","doi:10.7281/T1/0EYOMQ","0000-0002-1913-0353",2022-03-09 21:15:29
"100","doi:10.7281/T1/DX9DL8","0000-0003-4141-4034",2018-11-12 18:48:14
"101","doi:10.7281/T1/QS3QFT","0000-0003-4141-4034",2024-03-26 20:35:29
"102","doi:10.7281/T19G5JRC","0000-0001-9926-7984",2015-10-22
"103","doi:10.7281/T1F769G3","0000-0001-9926-7984",2023-03-16 15:12:56
"104","doi:10.7281/T1/N1X6I4","47",2021-02-04 22:20:30
"105","doi:10.7281/T1/QVAHMD","0000-0001-8547-9417",2022-05-18 11:30:39
"106","doi:10.7281/T1/IZMSNX","48",2024-07-29 16:28:32
"107","doi:10.7281/T1/IVVFCM","49",2023-04-21 16:24:52
"108","doi:10.7281/T1RN35S8","50",2015-08-25
